Model,Price,7over,cvt,Disp,Hp,AWD,4WD_dummy,rear,SUV,Pickup,Minivan,Sports,Luxuary,Curb Weight(lb),length(inch),MPG_ovarall,Reliability,Hybrid
Hyundai Santa Fe SEL,25850,1,0,2.4,185,1,0,0,1,0,0,0,0,4015,188,25,3,0
Hyundai Santa Fe XL SE,27950,0,0,3.3,290,1,0,0,1,0,0,0,0,4210,193,21,4,0
Hyundai Sonata SEL,21400,0,0,2.4,185,0,0,0,0,0,0,0,0,3305,191,28,4,0
Hyundai Tucson SEL,22600,0,0,2.4,181,1,0,0,1,0,0,0,0,3475,176,25,2,0
Hyundai Veloster Turbo R-Spec,21150,0,0,1.6,201,0,0,0,0,0,0,0,0,2795,167,29,3,0
Infiniti Q50 Luxe(AWD),39295,1,0,3,300,1,0,0,0,0,0,0,1,3875,188,22,3,0
Infiniti Q70 3.7,56960,1,0,3.7,330,1,0,0,0,0,0,0,1,3895,195,21,3,0
Infiniti QX30 Essential,39300,1,0,2,208,0,0,0,1,0,0,0,1,3540,174,25,3,0
Infiniti QX50 Essential,44345,0,1,2,268,1,0,0,1,0,0,0,1,4155,185,22,2,0
Infiniti QX60 Luxe,44295,0,1,3.5,295,1,0,0,1,0,0,0,1,4530,201,19,4,0
Infiniti QX80 Luxe,66795,1,0,5.6,400,0,1,0,1,0,0,0,1,5990,210,15,3,0
Jaguar E-Pace,46075,1,0,2,246,1,0,0,1,0,0,0,1,4130,173,21,1,0
Jaguar F-Pace Prestige,52632.5,1,0,3,340,1,0,0,1,0,0,0,1,4350,186,20,1,0
Jaguar XE,47567.5,1,0,2,247,0,0,1,0,0,0,1,1,3770,184,25,2,0
Jaguar XF Prestige (V6),59937.5,1,0,3,340,0,0,1,0,0,0,1,1,4175,195,21,2,0
Jaguar XJ,98900,1,0,3,340,0,0,1,0,0,0,0,1,4200,207,19,2,0
Jeep Cherokee Latitude (4-cyl.),30885,1,0,2.4,180,0,1,0,1,0,0,0,0,4070,182,23,2,0
Jeep Cherokee Limited (V6) new,30885,1,0,3.2,270,0,1,0,1,0,0,0,0,4070,182,23,2,0
Jeep Compass Latitude,25045,1,0,2.4,180,1,0,0,1,0,0,0,0,3525,173,24,1,0
Jeep Grand Cherokee Limited (diesel),39195,1,0,3,240,0,1,0,1,0,0,0,0,4900,190,24,3,0
Jeep Grand Cherokee Limited (V6),39195,1,0,3.6,295,0,1,0,1,0,0,0,0,4900,190,18,3,0
Jeep Renegade Latitude,22795,1,0,2.4,180,1,0,0,1,0,0,0,0,3360,167,24,3,0
Jeep Wrangler Unlimited Sahara,34245,1,0,3.6,285,0,1,0,1,0,0,0,0,4440,188,18,2,0
Kia Cadenza,38490,1,0,3.3,290,0,0,0,0,0,0,0,0,3725,196,24,2,0
Kia Forte LX (1.8L),19840,0,1,2,147,0,0,0,0,0,0,0,0,2805,183,34,4,0
Kia K900,59900,1,0,3.3,365,1,0,0,0,0,0,0,1,4555,202,21,3,0
Kia Niro,27870,0,0,1.6,139,0,0,0,0,0,0,0,0,3155,172,43,4,1
Kia Optima,28905,0,0,2.4,185,0,0,0,0,0,0,0,0,3300,191,28,4,0
Kia Rio,16300,0,0,1.6,130,0,0,0,0,0,0,0,0,2575,173,33,3,0
Kia Sedona,34500,1,0,3.3,276,0,0,0,0,0,1,0,0,4595,201,20,5,0
Kia Sorento,35490,1,0,3.3,290,1,0,0,1,0,0,0,0,4285,189,22,4,0
Kia Soul,19740,1,0,2,161,0,0,0,1,0,0,0,0,3055,163,26,4,0
Kia Sportage,29000,0,0,2.4,181,1,0,0,1,0,0,0,0,3485,176,23,3,0
Kia Stinger,41650,1,0,3.3,365,0,0,1,0,0,0,0,1,3910,190,23,3,0
Land Rover Discovery HSE,59790,1,0,3,340,0,1,0,1,0,0,0,1,5405,196,17,1,0
Land Rover Discovery Sport HSE,49700,1,0,2,240,1,0,0,1,0,0,0,1,4325,181,21,1,0
Land Rover Range Rover HSE,94950,1,0,3,340,0,1,0,1,0,0,0,1,5300,197,17,1,0
Land Rover Range Rover Sport HSE,73990,1,0,3,340,0,1,0,1,0,0,0,1,5255,191,18,1,0
Land Rover Range Rover Velar S,54700,1,0,2,247,1,0,0,1,0,0,0,1,4350,189,21,1,0
Lexus ES 350,39750,1,0,3.5,302,0,0,0,0,0,0,0,1,3770,196,25,4,0
Lexus GS 350,50765,1,0,3.5,311,1,0,0,0,0,0,0,1,3845,192,21,4,0
Lexus GX 460,52355,0,0,4.6,301,0,1,0,1,0,0,0,1,5170,192,17,5,0
Lexus IS300 (AWD),40760,0,0,3.5,260,1,0,0,0,0,0,0,1,3850,184,20,3,0
Lexus LS 500(AWD),78520,1,0,3.5,416,1,0,0,0,0,0,0,1,5170,206,20,3,0
Lexus NX 300,37485,0,1,2,235,1,0,0,1,0,0,0,1,3869,182,24,4,0
Lexus NX 300h,38835,0,1,2.5,194,1,0,0,1,0,0,0,1,4000,182,29,5,1
Lexus RC,52645,1,0,3.5,311,1,0,0,0,0,0,0,1,3750,185,21,5,0
Lexus RX 350,44764,1,0,3.5,295,1,0,0,1,0,0,0,1,4387,193,22,4,0
Lexus RX 450h,51355,0,1,3.5,308,1,0,0,1,0,0,0,1,4740,193,29,4,1
Lexus RX 350L,51112,1,0,3.5,295,1,0,0,1,0,0,0,1,4619,197,22.5,4,0
"Lincoln Continental Select (2.7T, AWD)",54430,0,0,2.7,335,1,0,0,0,0,0,0,1,4396,201,20,5,0
Lincoln MKC Reserve,40669,0,0,2.3,285,1,0,0,1,0,0,0,1,4070,179,19,2,0
Lincoln MKX 2.7L,49108,0,0,2.7,335,1,0,0,1,0,0,0,1,4220,190,18,4,0
Lincoln MKZ Hybrid,40170,0,1,2,188,1,0,0,0,0,0,0,1,3871,194,23,2,0
Lincoln MKZ Reserve,44990,0,0,2,245,1,0,0,0,0,0,0,1,3900,194,34,2,1
Lincoln Navigator Select,81505,1,0,3.5,411,0,1,0,1,0,0,0,1,6100,210,16,4,0
Maserati Ghibli S Q4,79900,1,0,3,430,1,0,0,0,0,0,0,1,4625,196,19,1,0
Maserati Levante (Base),82400,1,0,3,345,1,0,0,1,0,0,0,1,4905,197,16,1,0
Mazda 3 Sport,21520,0,0,2,155,0,0,0,0,0,0,0,0,2875,180,33,4,0
Mazda 6 Touring,26320,0,0,2.5,187,0,0,0,0,0,0,0,0,3405,192,28,4,0
Mazda CX-3 Touring,23262.5,0,0,2,146,1,0,0,1,0,0,0,0,2945,168,28,2,0
Mazda CX-5 Touring (2.5L),27547.5,0,0,2.5,187,1,0,0,1,0,0,0,0,3590,179,24,4,0
Mazda CX-9 Touring,38222.5,0,0,2.5,227,1,0,0,1,0,0,0,0,4585,200,22,4,0
Mazda MX-5 Miata Club,30070,0,0,2,181,0,0,1,0,0,0,1,0,2335,154,34,5,0
Mercedes-Benz A-Class A220,36000,1,0,2,188,1,0,0,0,0,0,0,1,3290,179,28,3,0
Mercedes-Benz C-Class C300,50000,1,0,2,255,1,0,0,0,0,0,0,1,3670,185,26,3,0
Mercedes-Benz CLA 250,41550,1,0,2,208,1,0,0,0,0,0,0,1,3335,182,28,3,0
Mercedes-Benz CLS53,74550,1,0,3,429,1,0,0,0,0,0,0,1,4255,199,26,2,0
Mercedes-Benz E-class Sedan E300 4MATIC,56000,1,0,3,241,1,0,0,0,0,0,0,1,4030,194,24,2,0
Mercedes-Benz GLA 250,42000,1,0,2,208,1,0,0,1,0,0,0,1,3540,174,26,3,0
Mercedes-Benz GLC300,53500,1,0,2,241,1,0,0,1,0,0,0,1,4140,186,24,1,0
Mercedes-Benz GLE350,56200,1,0,3.5,302,1,0,0,1,0,0,0,1,4920,189,18,3,0
Mercedes-Benz GLS 450,70150,1,0,3,362,1,0,0,1,0,0,0,1,5660,202,18,4,0
Mercedes-Benz S560 (4MATIC),104350,1,0,4,603,1,0,0,0,0,0,0,1,4940,207,18,3,0
Mercedes-Benz SLC,54875,1,0,2,241,0,0,1,0,0,0,0,1,3295,163,27,3,0
Mini Cooper Base,27500,1,0,1.5,134,0,0,0,0,0,0,0,0,2775,151,31,3,0
Mini Cooper Clubman Base(1.5T),30350,1,0,1.5,134,1,0,0,0,0,0,0,0,3175,168,28,3,0
Mini Cooper Countryman S,35650,1,0,2,189,1,0,0,1,0,0,0,1,3690,170,25,4,0
Mitsubishi Eclipse Cross SE,25895,0,1,1.5,152,1,0,0,1,0,0,0,0,3515,173,24,3,0
Mitsubishi Mirage ES,15645,0,1,1.2,78,0,0,0,0,0,0,0,0,2085,149,37,3,0
Mitsubishi Outlander SEL,28095,0,1,2.4,166,1,0,0,1,0,0,0,0,3610,185,24,4,0
Mitsubishi Outlander Sport ES,22770,0,1,2,148,1,0,0,1,0,0,0,0,3290,169,26,4,0
Nissan Altima 2.5 SV (AWD),29530,0,1,2.5,179,0,0,1,0,0,0,0,0,3250,192,29,4,0
Nissan Armada Platinum,60330,1,0,5.6,390,0,1,0,1,0,0,0,0,5910,209,14,3,0
Nissan Frontier,27895,0,0,4,261,0,1,0,0,1,0,0,0,4655,206,17,3,0
Nissan Kicks(SV),20350,0,1,1.6,125,0,0,0,0,0,0,0,0,2630,169,32,3,0
Nissan Maxima,38592,0,1,3.5,300,0,0,0,0,0,0,0,0,3535,193,25,2,0
Nissan Murano SL,37735,0,1,3.5,260,1,0,0,1,0,0,0,0,4025,192,21,2,0
Nissan Pathfinder SL,37650,0,1,3.5,284,0,1,0,1,0,0,0,0,4505,199,18,3,0
Nissan Rogue SV,28745,0,1,2.5,170,1,0,0,1,0,0,0,0,3590,185,24,3,0
Nissan Rogue Sport,25325,0,1,2,141,1,0,0,1,0,0,0,0,3365,172,26,3,0
Nissan Sentra SV,21815,0,1,1.8,188,0,0,0,0,0,0,0,0,2865,182,31,3,0
Nissan Titan,43165,1,0,5.6,390,0,1,0,0,1,0,0,0,5770,228,16,4,0
Nissan Versa SV (sedan),14175,0,1,1.6,109,0,0,0,0,0,0,0,0,2430,175,32,5,0
Nissan Z,39695,0,0,3.7,332,0,0,1,0,0,0,1,0,3385,167,23,3,0
Porsche 718 Boxster (Base),74610,1,0,2,300,0,0,1,0,0,0,0,0,3150,172,26,3,0
Porsche 911 Carrera S (new),120600,1,0,3.8,607,0,0,1,0,0,0,1,1,3240,177,23,4,0
Porsche Cayenne (V6),74300,1,0,3,335,1,0,0,1,0,0,0,1,4680,194,21,1,0
Porsche Macan S (new),58600,1,0,3,354,1,0,0,1,0,0,0,1,4420,184,19,4,0
Porsche Panamera 4S,104000,1,0,4,440,0,0,1,0,0,0,0,1,4123,199,23,3,0
Ram 1500,42567,1,0,3.6,240,0,1,0,0,1,0,0,0,5355,228.9,17,2,0
Subaru Ascent Limited,38995,0,1,2.4,260,1,0,0,1,0,0,0,0,4550,197,22,4,0
Subaru BRZ Premium ,25795,0,0,2,205,0,0,1,0,0,0,1,0,2770,167,30,4,0
Subaru Crosstrek Premium,22895,0,1,2,152,0,0,1,1,0,0,0,0,3190,176,29,5,0
Subaru Forester Premium,26695,0,1,2.5,182,1,0,0,1,0,0,0,0,3485,182,28,4,0
Subaru Impreza Premium,22095,0,1,2,152,1,0,0,1,0,0,0,0,3085,182,30,4,0
Subaru Legacy 2.5i Premium,24695,0,1,2.5,175,1,0,0,0,0,0,0,0,3470,189,26,4,0
Subaru Outback 2.5i Premium,28445,0,1,2.5,175,1,0,0,0,0,0,0,0,3640,190,24,4,0
Subaru Outback 3.6R Limited,34995,0,1,3.6,256,1,0,0,0,0,0,0,0,3640,190,22,4,0
Subaru WRX Premium,29495,0,0,2,268,1,0,0,0,0,0,1,0,3320,180,26,1,0
Toyota 4Runner SR5,35310,0,0,4,270,0,1,0,1,0,0,0,1,4665,190,18,4,0
Toyota 86 Base,27375,0,0,2,205,0,0,1,0,0,0,1,1,2770,167,30,5,0
Toyota Avalon Hybrid XLE,37580,0,1,2.5,215,0,0,0,0,0,0,0,0,3680,196,42,4,1
Toyota Camry LE,24600,1,0,2.5,203,0,0,0,0,0,0,0,0,3296,192,32,4,0
Toyota Camry Hybrid LE,28400,0,1,2.5,208,0,0,0,0,0,0,0,0,3472,192,47,4,1
Toyota C-HR,23472.5,0,1,2,144,0,0,0,1,0,0,0,0,3290,171,29,5,0
Toyota Corolla LE (sedan),21395,0,1,1.8,132,0,0,0,0,0,0,0,0,2900,183,32,5,0
Toyota Corolla Hatchback SE,21240,0,1,2,168,0,0,0,0,0,0,0,0,3060,183,36,5,0
Toyota Highlander XLE,39655,1,0,3.5,295,1,0,0,1,0,0,0,0,4570,191,22,5,0
Toyota Highlander Hybrid Limited,42380,0,1,3.5,306,1,0,0,1,0,0,0,0,4861,191,25,5,1
Toyota Land Cruiser Base,84315,1,0,5.7,381,0,1,0,1,0,0,0,1,5855,195,14,4,0
Toyota Prius Three,27985,0,1,1.8,121,1,0,0,0,0,0,0,0,3080,179,52,5,1
Toyota Prius C LE,22797.5,0,1,1.5,99,0,0,0,0,0,0,0,0,2545,160,43,5,1
Toyota Prius Prime Premium,30100,0,1,1.8,121,0,0,0,0,0,0,0,0,3410,183,69,5,1
Toyota RAV4 XLE,29500,1,0,2.5,203,1,0,0,1,0,0,0,0,3620,181,27,4,0
Toyota RAV4 Hybrid XLE,29650,0,1,2.5,203,0,1,0,1,0,0,0,0,3755,181,27,4,1
Toyota Sequoia Limited,57867.5,0,0,5.7,381,0,1,0,1,0,0,0,0,6025,205,15,3,0
Toyota Sienna XLE,39682.5,1,0,3.5,296,1,0,0,0,0,1,0,0,4550,200,21,4,0
Toyota Tacoma SR5,34360,0,0,3.5,278,0,1,0,0,1,0,0,0,4450,212,19,2,0
Toyota Tundra SR5,40625,0,0,5.7,381,0,1,0,0,1,0,0,0,5740,229,15,4,0
Toyota Yaris L (sedan),17347.5,0,0,1.5,106,0,0,0,0,0,0,0,0,2385,154,35,5,0
Toyota Yaris LE (hatchback),17347.5,0,0,1.5,106,0,0,0,0,0,0,0,0,2401,154,32,5,0
Volkswagen Atlas,39745,1,0,2,235,1,0,0,1,0,0,0,0,4670,198,20,2,0
Volkswagen Beetle S 1.8T (AT),26155,1,0,2,174,0,0,0,0,0,0,0,0,3040,168,27,2,0
Volkswagen Golf SE (1.8T),28540,1,0,1.8,170,1,0,0,0,0,0,0,0,3090,168,28,2,0
